u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
19.37159,18.39566,18.06336,17.78094,17.63943,17.83769,43.82628,59.51862,77.20076,87.94254,3.250827,3.353395,3.678946,3.491431,4.833147,19.89989,44.20049,81.77169,63.05197,106.838,1.761636,1.648109,1.71174,1.683403,2.036531,20.7628,19.39668,19.58508,19.06022,18.78384,0.4553858,0.5031061,0.484935,0.491993,0.5485886,STARBURST,0.08277784,5.36e-06
19.07655,18.02387,17.71649,17.47427,17.42409,23.40794,61.72364,81.92227,102.3979,107.2365,4.878013,4.927967,5.135278,5.441218,4.851155,16.19666,57.68477,95.39267,80.513,98.17825,1.763249,2.270933,2.329123,2.489423,2.345085,20.42223,19.47638,19.57962,19.38111,19.10079,0.3217783,0.4303188,0.4263162,0.4235337,0.4261406,STARBURST,0.04846198,4.59e-06
19.78431,18.44702,17.68352,17.22218,16.88562,12.196,41.80152,84.44852,129.1602,176.0936,4.194687,4.196072,3.727386,3.809222,3.424685,14.36011,45.13321,130.9405,89.82471,172.7621,1.910831,1.889243,1.726131,1.8001,1.726734,21.19083,18.94788,19.73199,18.41951,17.94494,0.422152,0.4446032,0.4624525,0.4646667,0.4754167,STARFORMING,0.1210535,9.46e-06
20.22028,19.10372,18.66268,18.39175,18.20387,8.161323,22.82996,34.27063,43.98376,52.28382,6.308658,4.753779,5.157035,4.821328,4.020745,10.36802,21.41032,44.28158,32.51281,40.10034,2.818981,2.249576,2.369857,2.263472,1.898325,22.22484,20.63184,20.96529,20.35136,19.98583,0.4999707,0.5032083,0.5131772,0.5384799,0.5500079,STARBURST,0.08444478,7.88e-06
23.76814,21.23739,19.94918,19.29091,18.87927,0.2479623,3.196681,10.47783,19.21312,28.05358,2.969985,2.00994,2.237146,2.399104,2.156646,0.1219422,2.426965,15.51093,9.48471,20.30604,0.4829406,1.066014,1.06805,1.193641,0.9785026,23.64832,20.22874,21.38333,19.55808,19.09527,0.05,0.0844264,0.526327,0.3342737,0.05,STARFORMING,0.427029,4.59e-05
19.07369,18.50483,18.75085,18.73042,18.21227,23.46973,39.63377,31.59754,32.19722,51.88044,5.317381,9.17744,9.113779,8.766107,5.964897,21.33927,44.96965,35.5463,37.20838,30.03504,2.848071,3.987587,3.89045,4.200236,2.141486,20.83912,21.23231,20.70786,21.15359,20.49853,0.3727799,0.3356229,0.3319629,0.3291377,0.3152963,STARBURST,0.04161595,8.73e-06
20.61721,19.47371,18.38662,17.92756,17.52442,5.660464,16.23687,44.19242,67.44862,97.7702,4.608432,5.261848,4.177282,4.392584,4.954954,5.37871,17.72566,62.36316,43.31623,99.88966,2.15585,2.551058,2.197398,2.303307,2.359864,22.73292,20.55634,21.57969,20.16978,19.61044,0.2876603,0.7776332,0.7784541,0.6911395,0.7803977,STARFORMING,0.2616124,2.99e-05
18.20298,16.81317,16.10852,15.74137,15.44202,52.33671,188.249,360.2413,505.1852,665.5644,10.77996,12.31311,11.65245,12.03419,11.04851,38.64988,186.5902,473.6094,349.8727,582.1889,4.224552,5.536232,5.126048,5.374697,4.594658,20.74244,19.01017,19.34712,18.4896,18.13154,0.2204368,0.2241906,0.23777,0.2426755,0.2360071,STARFORMING,0.0191913,8.74e-06
19.43511,18.23524,17.64806,17.41232,17.34412,16.82394,50.80468,87.25165,108.4104,115.4346,5.500315,5.855888,5.666191,5.777062,6.373769,14.73923,49.8671,99.12639,79.52039,117.6311,2.775675,2.995522,2.843096,2.864801,3.068694,22.0036,20.07292,20.9059,20.07473,20.05961,0.8528802,0.8804834,0.9399661,0.9553369,0.8218297,STARFORMING,0.1457126,1.25e-05
19.30338,18.3065,17.75421,17.38075,17.17055,18.99435,47.57719,79.12555,111.6087,135.4465,3.563922,3.602544,3.368974,3.346035,3.118009,19.42885,50.22593,115.5322,82.66063,136.6241,1.670479,1.722601,1.634182,1.657152,1.601283,20.21663,18.99965,19.3935,18.69694,18.44158,0.715377,0.6913167,0.7059323,0.6883679,0.634454,STARFORMING,0.08126468,8.03e-06
