u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,redshift_err
18.97018,17.08471,16.10932,15.58947,15.2018,25.81761,146.5941,359.9751,581.0504,830.3857,10.67039,8.439624,8.242254,8.118181,8.248216,26.27776,122.7427,465.5953,292.8907,669.998,4.083331,3.326752,3.062689,3.101768,3.156028,21.35767,18.62983,19.37816,18.01802,17.65642,0.3297354,0.3370472,0.3401797,0.3499513,0.3499979,0.07552458,1.41e-05
18.77916,17.4418,16.53036,16.03311,15.66963,30.78407,105.5071,244.2609,386.1502,539.692,6.714536,8.176884,7.109664,7.381482,6.391356,21.47472,83.36318,291.0785,190.2885,397.3311,2.786307,3.224008,2.996628,3.124091,2.941692,20.54582,18.77546,19.49554,18.21337,17.84053,0.623265,0.7169123,0.6839646,0.7155484,0.7153673,0.118645,1.16e-05
23.46746,18.57562,18.09047,17.82183,17.69156,0.3624382,37.13193,58.05084,74.34719,83.81852,2.970245,3.331401,3.986014,3.684198,4.475446,0.732896,38.07248,80.37432,62.64433,92.32139,3.005041,1.621679,1.760503,1.724144,1.891083,24.77142,19.29062,19.51857,19.00045,18.87115,0.05,0.3724036,0.3550867,0.3374564,0.3251544,0.04817427,8.36e-06
17.51064,16.26531,15.67374,15.32987,15.06449,99.02509,311.8011,537.6539,737.9924,942.3339,10.62322,11.03545,10.02074,10.42539,9.579085,101.1017,316.4582,705.6942,528.5865,838.6158,5.095203,5.158553,4.741946,4.953506,4.521959,20.33451,18.51244,19.14019,18.26189,17.83654,0.4824578,0.4844543,0.4891882,0.4852906,0.4850229,0.05566613,9.78e-06
22.74643,22.02561,21.96863,21.72339,21.21186,0.7723491,1.54271,1.62252,2.02893,3.108153,1.879694,1.379014,1.075685,1.406935,2.16128,0.6570982,1.229719,1.350005,1.153605,3.313262,0.7517558,0.6654208,0.5012586,0.552679,0.7947925,22.73884,22.03456,22.04049,21.77065,21.31376,0.05,0.1141769,0.09716709,0.1919353,0.05,0.3699437,1.56e-05
19.00896,17.94399,17.46713,17.06115,16.95396,24.9117,66.43614,103.0739,149.8101,165.351,3.120741,3.613431,3.283742,3.527714,3.680093,25.84309,68.51611,154.5115,109.7352,165.9282,1.695801,1.755767,1.599644,1.700313,1.686906,19.87568,18.67157,18.84217,18.24504,18.02114,0.8084227,0.8058175,0.8196047,0.8338937,0.8312242,0.106665,7.6e-06
23.16855,23.11672,22.55766,21.75366,21.5704,0.5039517,0.5523511,0.9330948,1.972248,2.121579,1.207828,1.476465,2.357851,2.141761,2.365803,0.7848471,0.5832381,2.567204,1.145105,1.538705,0.8659775,0.7278486,0.7727047,0.6790518,0.5909626,23.15395,22.52516,23.08807,21.75364,21.64179,0.05,0.07592923,0.1766262,0.09175202,0.05,0.2695014,3.63e-05
18.81854,17.68971,17.1658,16.81723,16.5365,29.68741,83.96806,136.0437,187.5462,242.8825,5.906684,7.234427,6.871856,6.933044,6.915416,26.88305,85.81635,177.6762,137.4791,217.7423,3.058396,3.48758,3.080799,3.334078,3.002898,20.46992,19.1541,19.67613,18.79001,18.38761,0.3270892,0.3180194,0.288133,0.2671528,0.2691748,0.0478253,6.34e-06
18.51014,17.42032,16.9919,16.70919,16.58423,39.44025,107.6149,159.6759,207.1682,232.4353,7.797005,6.882899,6.767009,7.359821,6.844642,48.27637,104.0779,196.6106,152.9542,208.7206,4.258751,3.481677,3.401348,3.413295,3.12194,21.05374,19.61543,20.0147,19.5222,19.10366,0.8879251,0.8204136,0.7914854,0.8225797,0.7775247,0.06433873,9.45e-06
19.72942,18.44703,17.60444,17.15454,16.79543,12.82863,41.80086,90.82838,137.462,191.3465,3.430512,3.899324,3.883641,4.191781,4.308999,5.386999,31.57004,105.3741,72.06411,159.1762,0.7828856,1.721036,1.779313,1.855124,1.939049,20.77306,19.21486,19.90437,18.75906,18.43206,0.4646116,0.6627887,0.6844123,0.6339074,0.6823239,0.1207379,1.41e-05
